"","monthOfDate","driversKilled","frontSeat","backSeat","distDrivenKM","numKilledInVan","gasPrice","lawIsInEffect"
"55",1973-07-01,153,1114,619,16834,13,0.083778405,FALSE
"56",1973-08-01,140,1132,640,17282,15,0.083510743,FALSE
"57",1973-09-01,161,1111,559,15779,11,0.082806394,FALSE
"58",1973-10-01,168,1008,453,13946,11,0.081178893,FALSE
"59",1973-11-01,152,916,418,12701,10,0.082853607,FALSE
"60",1973-12-01,136,992,419,10431,13,0.094190119,FALSE
"61",1974-01-01,113,731,262,11616,8,0.092399843,FALSE
"62",1974-02-01,100,665,299,10808,6,0.108161478,FALSE
"63",1974-03-01,103,724,303,12421,8,0.107211689,FALSE
"64",1974-04-01,103,744,401,13605,14,0.114042967,FALSE
"65",1974-05-01,121,910,413,14455,12,0.112454116,FALSE
"66",1974-06-01,134,883,426,15019,14,0.111316253,FALSE
"67",1974-07-01,133,900,516,15662,13,0.110301252,FALSE
"68",1974-08-01,129,1057,600,16745,9,0.108197177,FALSE
"69",1974-09-01,144,1076,459,14717,4,0.107027443,FALSE
"70",1974-10-01,154,919,443,13756,13,0.104946981,FALSE
"71",1974-11-01,156,920,412,12531,6,0.119357749,FALSE
"72",1974-12-01,163,953,400,12568,15,0.117621904,FALSE
"73",1975-01-01,122,664,278,11249,12,0.133027421,FALSE
"74",1975-02-01,92,607,302,11096,16,0.130845244,FALSE
"75",1975-03-01,117,777,381,12637,7,0.128318477,FALSE
"76",1975-04-01,95,633,279,13018,12,0.123547448,FALSE
"77",1975-05-01,96,791,442,15005,10,0.118586812,FALSE
"78",1975-06-01,108,790,409,15235,9,0.11633748,FALSE
"79",1975-07-01,108,803,416,15552,9,0.115161476,FALSE
"80",1975-08-01,106,884,511,16905,6,0.114501197,FALSE
"81",1975-09-01,140,769,393,14776,7,0.113522979,FALSE
"82",1975-10-01,114,732,345,14104,13,0.111930179,FALSE
"83",1975-11-01,158,859,391,12854,14,0.110610529,FALSE
"84",1975-12-01,161,994,470,12956,13,0.115274389,FALSE
"85",1976-01-01,102,704,266,12177,14,0.113793486,FALSE
"86",1976-02-01,127,684,312,11918,11,0.112349582,FALSE
"87",1976-03-01,125,671,300,13517,11,0.111753469,FALSE
"88",1976-04-01,101,643,373,14417,10,0.109642523,FALSE
"89",1976-05-01,97,771,412,15911,4,0.108440895,FALSE
"90",1976-06-01,112,644,322,15589,8,0.107884939,FALSE
"91",1976-07-01,112,828,458,16543,9,0.109084769,FALSE
"92",1976-08-01,113,748,427,17925,10,0.10757145,FALSE
"93",1976-09-01,108,767,346,15406,10,0.106164022,FALSE
"94",1976-10-01,128,825,421,14601,5,0.106299999,FALSE
"95",1976-11-01,154,810,344,13107,13,0.104825313,FALSE
"96",1976-12-01,162,986,370,12268,12,0.103451746,FALSE
"97",1977-01-01,112,714,291,11972,10,0.10144992,FALSE
"98",1977-02-01,79,567,224,12028,9,0.100402316,FALSE
"99",1977-03-01,82,616,266,14033,7,0.098862034,FALSE
"100",1977-04-01,127,678,338,14244,5,0.102496154,FALSE
"101",1977-05-01,108,742,298,15287,10,0.103027432,FALSE
"102",1977-06-01,110,840,386,16954,5,0.102178908,FALSE
"103",1977-07-01,123,888,479,17361,6,0.099836643,FALSE
"104",1977-08-01,103,852,473,17694,8,0.09263669,FALSE
"105",1977-09-01,97,774,332,16222,6,0.091814963,FALSE
"106",1977-10-01,140,831,391,14969,12,0.090724304,FALSE
"107",1977-11-01,165,889,370,13624,15,0.090021207,FALSE
"108",1977-12-01,183,1046,431,13842,7,0.089330706,FALSE
"109",1978-01-01,148,889,366,12387,14,0.088442735,FALSE
"110",1978-02-01,111,626,250,11608,4,0.088352569,FALSE
"111",1978-03-01,116,808,355,15021,10,0.086757362,FALSE
"112",1978-04-01,115,746,304,14834,8,0.084995242,FALSE
"113",1978-05-01,100,754,379,16565,7,0.084567944,FALSE
"114",1978-06-01,106,865,440,16882,11,0.084431899,FALSE
"115",1978-07-01,134,980,500,18012,3,0.084350883,FALSE
"116",1978-08-01,125,959,511,18855,5,0.083600983,FALSE
"117",1978-09-01,117,856,384,17243,11,0.083417263,FALSE
"118",1978-10-01,122,798,366,16045,10,0.08274514,FALSE
"119",1978-11-01,153,942,432,14745,10,0.085235267,FALSE
"120",1978-12-01,178,1010,390,13726,7,0.084770303,FALSE
"121",1979-01-01,114,796,306,11196,10,0.084458921,FALSE
"122",1979-02-01,94,643,232,12105,11,0.085352119,FALSE
"123",1979-03-01,128,794,342,14723,9,0.087559213,FALSE
"124",1979-04-01,119,750,329,15582,7,0.090382917,FALSE
"125",1979-05-01,111,809,394,16863,8,0.090783294,FALSE
"126",1979-06-01,110,716,355,16758,13,0.10874278,FALSE
"127",1979-07-01,114,851,385,17434,8,0.114142227,FALSE
"128",1979-08-01,118,931,463,18359,5,0.112992933,FALSE
"129",1979-09-01,115,834,453,17189,8,0.111320706,FALSE
"130",1979-10-01,132,762,373,16909,7,0.109126229,FALSE
"131",1979-11-01,153,880,401,15380,12,0.107698459,FALSE
"132",1979-12-01,171,1077,466,15161,10,0.107601574,FALSE
"133",1980-01-01,115,748,306,14027,7,0.103775019,FALSE
"134",1980-02-01,95,593,263,14478,4,0.10711417,FALSE
"135",1980-03-01,92,720,323,16155,10,0.107374774,FALSE
"136",1980-04-01,100,646,310,16585,4,0.111695373,FALSE
"137",1980-05-01,95,765,424,18117,8,0.110638185,FALSE
"138",1980-06-01,114,820,403,17552,8,0.111855211,FALSE
"139",1980-07-01,102,807,406,18299,7,0.109742343,FALSE
"140",1980-08-01,104,885,466,19361,10,0.108193932,FALSE
"141",1980-09-01,132,803,381,17924,8,0.106255363,FALSE
"142",1980-10-01,136,860,369,17872,14,0.104193034,FALSE
"143",1980-11-01,117,825,378,16058,8,0.101933973,FALSE
"144",1980-12-01,137,911,392,15746,9,0.102793825,FALSE
"145",1981-01-01,111,704,284,15226,8,0.104760341,FALSE
"146",1981-02-01,106,691,316,14932,6,0.104002536,FALSE
"147",1981-03-01,98,688,321,16846,7,0.116655515,FALSE
"148",1981-04-01,84,714,358,16854,6,0.115161476,FALSE
"149",1981-05-01,94,814,378,18146,5,0.112989543,FALSE
"150",1981-06-01,105,736,382,17559,4,0.113860644,FALSE
"151",1981-07-01,123,876,433,18655,5,0.119118081,FALSE
"152",1981-08-01,109,829,506,19453,10,0.124489986,FALSE
"153",1981-09-01,130,818,428,17923,7,0.123222945,FALSE
"154",1981-10-01,153,942,479,17915,10,0.120677932,FALSE
"155",1981-11-01,134,782,370,16496,12,0.121048983,FALSE
"156",1981-12-01,99,823,349,13544,7,0.116968571,FALSE
"157",1982-01-01,115,595,238,13601,4,0.112750259,FALSE
"158",1982-02-01,104,673,285,15667,5,0.108079307,FALSE
"159",1982-03-01,131,660,324,17358,6,0.108838516,FALSE
"160",1982-04-01,108,676,346,18112,4,0.111291766,FALSE
"161",1982-05-01,103,755,410,18581,4,0.111304009,FALSE
"162",1982-06-01,115,815,411,18759,8,0.115454358,FALSE
"163",1982-07-01,122,867,496,20668,8,0.114768296,FALSE
"164",1982-08-01,122,933,534,21040,3,0.117207431,FALSE
"165",1982-09-01,125,798,396,18993,7,0.119076397,FALSE
"166",1982-10-01,137,950,470,18668,12,0.117965862,FALSE
"167",1982-11-01,138,825,385,16768,2,0.117449127,FALSE
"168",1982-12-01,152,911,411,16551,7,0.116988458,FALSE
"169",1983-01-01,120,619,281,16231,8,0.112610536,FALSE
"170",1983-02-01,95,426,300,15511,3,0.113657016,TRUE
"171",1983-03-01,100,475,318,18308,2,0.113144445,TRUE
"172",1983-04-01,89,556,391,17793,6,0.118495535,TRUE
"173",1983-05-01,82,559,398,19205,3,0.117969401,TRUE
"174",1983-06-01,89,483,337,19162,7,0.117686614,TRUE
"175",1983-07-01,60,587,477,20997,6,0.120059239,TRUE
"176",1983-08-01,84,615,422,20705,8,0.119437746,TRUE
"177",1983-09-01,113,618,495,18759,8,0.118881272,TRUE
"178",1983-10-01,126,662,471,19240,4,0.118462361,TRUE
"179",1983-11-01,122,519,368,17504,3,0.118016598,TRUE
"180",1983-12-01,118,585,345,16591,5,0.117706623,TRUE
"181",1984-01-01,92,483,296,16224,5,0.11777609,TRUE
"182",1984-02-01,86,434,319,16670,3,0.114796992,TRUE
"183",1984-03-01,81,513,349,18539,4,0.115735253,TRUE
"184",1984-04-01,84,548,375,19759,3,0.115356263,TRUE
"185",1984-05-01,87,586,441,19584,6,0.114815361,TRUE
"186",1984-06-01,90,522,465,19976,6,0.114777478,TRUE
"187",1984-07-01,79,601,472,21486,7,0.11493598,TRUE
"188",1984-08-01,96,644,521,21626,5,0.114796992,TRUE
"189",1984-09-01,122,643,429,20195,7,0.114093157,TRUE
"190",1984-10-01,120,641,408,19928,7,0.116465522,TRUE
"191",1984-11-01,137,711,490,18564,4,0.116026113,TRUE
"192",1984-12-01,154,721,491,18149,7,0.116066729,TRUE
